hiding_date_vc,hiding_blz,hiding_rider,finder_date_vc,finder_blz,finder_rider,lat_degr,lon_degr,loc_desc,city,prov ,,,,,,,,,,
17-08-2010,1/1,vuurbloed,18-08-2010,1/2,Schwenneh,52.337332,4.740536,"Tweeduizend El, Lijnden (Schiphol), NH",Lijnden,NH,,,,,,,,,,
18-08-2010,1/2,Schwenneh,18-08-2010,1/4,Stephan,52.167661,4.994482,"Kanaaldijk West, Breukelen, Ut",Breukelen,Ut,,,,,,,,,,
18-08-2010,1/4,Stephan,19-08-2010,1/6,Red Devil,52.111632,5.290732,"Kampdwarsweg, Soesterberg, Ut",Soesterberg,Ut,,,,,,,,,,
19-08-2010,1/8,Red Devil,19-08-2010,1/10,smoffler,52.165577,5.390403,"Keerkring 11, Amersfoort, Ut",Amersfoort,Ut,,,,,,,,,,
19-08-2010,1/11,smoffler,20-08-2010,1/13,Hayfork,51.477577,4.434571,"Kuilweg/Hopmeerweg, Wouwse Plantage, NB",Wouwse Plantage,NB,,,,,,,,,,
20-08-2010,1/15,Hayfork,20-08-2010,1/16,NR34,51.491708,5.860949,"Langstraat/Deurneseweg, Ysselsteyn, Li",Ysselsteyn,Li,,,,,,,,,,
21-08-2010,1/19,NR34,21-08-2010,1/18,Jeltel,51.798511,5.932274,"Begraafplaats - 7 Heuvelenweg, Groesbeek, Ge",Groesbeek,Ge,,,,,,,,,,
21-08-2010,1/20,Jeltel,21-08-2010,1/20,BrouwerER6N,52.060026,5.939315,"Terlet - Apeldoornseweg, Arnhem, Ge",Arnhem,Ge,,,,,,,,,,
22-08-2010,1/22,BrouwerER6N,22-08-2010,1/23,Mckay1,52.185418,6.889071,"Stroinksweg, Enschede, Ov",Enschede,Ov,,,,,,,,,,
22-08-2010,1/23,Mckay1,23-08-2010,1/25,sjoemie,52.67204,6.436947,"Oosterweg, Zuidwolde, Dr",Zuidwolde,Dr,,,,,,,,,,
23-08-2010,1/25,sjoemie,24-08-2010,1/31,Primo!,52.676981,6.194648,"Noordweg 2, Staphorst, Ov",Staphorst,Ov,,,,,,,,,,
24-08-2010,1/31,Primo!,24-08-2010,1/35,I-accelerate,52.967833,6.535267,"TT-Circuit, Assen, Dr",Assen,Dr,,,,,,,,,,
24-08-2010,1/35,I-accelarate,24-08-2010,1/38,Quark,52.601979,6.391178,"Hoogeveenseweg, Balkbrug, Ov",Balkbrug,Ov,,,,,,,,,,
,,,,,Martijnski,,,,,,,,,,,,,,,
25-08-2010,1/38,Quark,25-08-2010,1/40,Melchen,51.404315,5.489962,"Engelse tuin - Zandweg, Waalre, NB",Waalre,NB,,,,,,,,,,
,,Martijnski,,,,,,,,,,,,,,,,,,
25-08-2010,1/40,Melchen,25-08-2010,1/43,Jessica33,51.501463,5.39109,"Witte de Withstraat, Best, NB",Best,NB,,,,,,,,,,
25-08-2010,1/45,Jessica33,25-08-2010,1/48,ThaGaruda,51.68824,5.662425,"Udenseweg, Zeeland, NB",Zeeland,NB,,,,,,,,,,
26-08-2010,1/56,ThaGaruda,27-08-2010,1/59,GSxie,52.211216,4.405528,"Noordduinseweg, Katwijk, ZH",Katwijk,ZH,,,,,,,,,,
27-08-2010,1/63,GSxie,27-08-2010,1/65,SPutnick,52.120526,4.784975,"Meye 51, Bodegraven, ZH",Bodegraven,ZH,,,,,,,,,,
28-08-2010,1/67,SPutnick,28-08-2010,1/69,ootje,52.005872,4.737301,"Provincialeweg West-N228, Gouda, ZH",Gouda,ZH,,,,,,,,,,
28-08-2010,1/70,ootje,28-08-2010,1/71,Jozefientje123,52.564352,4.685152,"Zuidkerkenlaan, Limmen, NH",Limmen,NH,,,,,,,,,,
28-08-2010,1/73,josefientje123,28-08-2010,1/74,Jeroen P,52.383353,4.589195,"Visserspad, Overveen, NH",Overveen,NH,,,,,,,,,,
28-08-2010,1/77,Jeroen P,29-08-2010,1/78,ootje,52.280565,4.482298,"parkeerplaats Randweg, Noordwijk, ZH",Noordwijk,ZH,,,,,,,,,,
29-08-2010,1/78,ootje,29-08-2010,1/81,Bikermamma,52.469341,4.573681,"uitkijkplaats Reyndersweg, Velzen Noord, NH",Velsen,NH,,,,,,,,,,
30-08-2010,1/85,Bikermamma,30-08-2010,1/88,Miss2,53.031986,5.632789,"Schoenmakersstraat, Sneek, Fr",Sneek,Fr,,,,,,,,,,
30-08-2010,1/89,Miss2,30-08-2010,1/92,Ted,52.558279,5.864639,"Schansdijk, Kampen, Ov",Kampen,Ov,,,,,,,,,,
31-08-2010,2/1,Ted,31-08-2010,2/3,Bensi,52.16951,5.982141,"De Els, Lieren/Beekbergen, Ge",Lieren,Ge,,,,,,,,,,
